user_id,day,day_of_week,time,latitude,longitude,POI_id
12,2,6,17:12:13,31.298124457465281,121.50307291666668,14364717535231123650
458,2,6,17:51:42,31.296241999999999,121.502865,6002588046867476358
432,2,6,18:22:43,31.298330078125002,121.50122667100696,6871601350206860172
201,2,6,18:27:40,31.293257000000001,121.49467799999999,10477213912351844482
171,2,6,18:31:03,31.300904405381942,121.50316406250001,508268473084481272
171,2,6,18:35:22,31.302882,121.498717,3901627852432343402
171,2,6,18:37:42,31.302882,121.498717,3901627852432343402
171,2,6,18:38:58,31.300904405381942,121.50316406250001,10173593784908884544
24,2,6,18:39:44,31.290138244628903,121.50114440917967,14314018265418321647
255,2,6,18:40:34,31.29995334201389,121.50599772135416,10956645436626208198
418,2,6,18:41:05,31.298888075086804,121.50335611979166,8081130554276717424
431,2,6,18:43:12,31.296711697048611,121.50613579644096,6871601350206860172
219,2,6,18:49:00,31.191766999999999,121.596985,2793073053287994101
434,2,6,18:53:01,31.299937065972223,121.49408067491321,17607507427050247201
291,2,6,19:16:24,31.190460340711805,121.59706787109376,17930691270814698325
430,2,6,19:22:20,31.191553115844727,121.59690856933594,6015323133108141536
380,2,6,20:49:41,31.195448133680557,121.44971001519096,15816538409797329025
101,3,7,00:03:18,31.175615310668945,121.59809112548828,2760755844587627452
263,3,7,00:19:18,31.193806966145832,121.4568736436632,4617762455214661696
115,3,7,00:20:34,31.289392361111112,121.50695448133681,10259167511958720700
467,3,7,08:14:39,31.165379999999999,121.48860000000001,10646625848452218261
467,3,7,08:15:09,31.165379999999999,121.48860000000001,15582645069115184694
12,3,7,10:51:49,31.293893000000001,121.49838099999999,1217076902530805896
120,3,7,10:51:57,31.196870803833008,121.44480895996094,15816538409797329025
3,3,7,11:13:10,31.190145492553711,121.59178161621094,12920821580073603123
182,3,7,11:14:34,31.190035536024304,121.59250244140624,11674340412308245993
163,3,7,12:56:18,31.295109,121.50305,16000935506561773980
118,3,7,14:45:15,31.190289,121.59201,3096190464409485993
165,3,7,15:59:46,31.291957855224609,121.49737548828124,9903831028299861656
253,3,7,16:03:54,31.299880000000002,121.49590000000001,17072746516103591309
253,3,7,16:05:54,31.299880000000002,121.49590000000001,9390824352996512958
63,3,7,16:06:31,31.333066940307617,121.49169158935548,4500484013020441710
435,3,7,16:25:21,30.815588000000002,121.44546099999999,15281919380122369786
435,3,7,16:26:17,30.815588000000002,121.44546099999999,6739087042434038397
435,3,7,16:27:10,30.815588000000002,121.44546099999999,3219275524154089769
435,3,7,16:28:59,30.815588000000002,121.44546099999999,2858357527420355279
435,3,7,16:29:36,30.815588000000002,121.44546099999999,10539124807319285816
229,3,7,17:09:14,31.295047760009769,121.49918365478516,5202868722995037677
434,3,7,17:19:47,31.290232476128473,121.50134874131945,16778929662890054916
244,3,7,18:09:44,31.190414225260415,121.59399251302084,7418233607399975825
163,3,7,20:04:59,31.295117999999999,121.503975,4669731603123707437
380,3,7,21:25:14,31.195497233072917,121.44965983072916,15816538409797329025
267,3,7,21:39:38,31.296994000000002,121.50286,2724766603850828906
131,3,7,21:53:49,31.301485061645508,121.49866485595705,12234344154690530667
131,3,7,21:54:55,31.301485061645508,121.49866485595705,16427539605938785867
