user_id,profile_id,day,day_of_week,time
343,343,3,7,21:26:53
228,218,3,7,21:55:56
442,188,3,7,22:03:02
442,188,3,7,22:18:58
210,210,3,7,22:21:52
161,198,3,7,22:27:23
300,45,3,7,23:32:12
167,15,4,1,00:04:22
261,70,4,1,00:19:07
220,15,4,1,00:19:14
220,15,4,1,00:19:31
220,15,4,1,00:19:35
220,411,4,1,00:19:42
220,62,4,1,00:19:44
220,322,4,1,00:19:45
435,111,4,1,00:22:37
456,202,4,1,00:29:00
320,452,4,1,00:49:18
191,79,4,1,00:58:04
191,79,4,1,00:58:50
93,191,4,1,01:34:51
7,7,4,1,01:37:25
135,444,4,1,06:38:35
161,278,4,1,07:31:07
328,223,4,1,07:50:07
75,75,4,1,08:08:59
311,311,4,1,08:14:28
431,360,4,1,08:25:03
448,448,4,1,08:30:37
48,48,4,1,08:34:07
209,294,4,1,08:50:17
209,294,4,1,08:50:22
209,294,4,1,08:50:24
267,82,4,1,08:55:51
267,82,4,1,08:55:55
233,22,4,1,09:12:06
213,213,4,1,09:14:13
213,213,4,1,09:14:18
283,8,4,1,09:16:21
211,309,4,1,09:30:04
349,400,4,1,09:34:42
349,400,4,1,09:34:49
394,131,4,1,09:47:17
347,132,4,1,09:48:33
347,132,4,1,09:48:38
435,52,4,1,10:05:23
354,159,4,1,10:07:24
68,268,4,1,10:44:22
74,74,4,1,11:12:58
207,47,4,1,11:58:03
217,301,4,1,12:02:01
192,179,4,1,12:26:47
192,179,4,1,12:26:53
220,220,4,1,12:55:08
220,220,4,1,12:55:13
100,225,4,1,13:01:36
407,407,4,1,13:04:33
180,7,4,1,13:30:27
279,392,4,1,14:04:39
270,1,4,1,14:21:30
270,1,4,1,14:21:36
418,285,4,1,14:28:21
404,100,4,1,15:26:09
404,100,4,1,15:26:12
177,149,4,1,15:53:19
349,47,4,1,15:53:35
246,246,4,1,15:54:29
48,48,4,1,17:08:49
48,48,4,1,17:09:05
217,364,4,1,17:23:04
219,52,4,1,17:27:28
315,399,4,1,18:49:25
315,399,4,1,18:49:48
400,279,4,1,18:51:21
208,156,4,1,19:05:15
328,108,4,1,19:06:50
340,340,4,1,19:23:38
177,455,4,1,19:47:15
177,455,4,1,19:47:18
450,220,4,1,20:05:31
375,3,4,1,21:27:35
287,287,4,1,22:37:43
287,287,4,1,22:37:56
150,150,5,2,00:03:46
316,118,5,2,00:08:13
7,446,5,2,00:13:03
7,446,5,2,00:13:13
68,68,5,2,00:14:41
70,399,5,2,00:21:16
66,91,5,2,02:53:34
66,91,5,2,02:53:41
337,429,5,2,07:18:53
107,107,5,2,08:39:49
263,263,5,2,08:47:42
241,254,5,2,09:23:16
278,161,5,2,09:26:07
161,278,5,2,09:49:52
113,113,5,2,09:51:43
277,392,5,2,09:56:39
464,464,5,2,10:02:32
450,248,5,2,10:08:06
450,248,5,2,10:08:11
450,248,5,2,10:08:22
450,248,5,2,10:08:26
330,15,5,2,10:46:43
140,244,5,2,11:06:58
140,244,5,2,11:07:02
77,349,5,2,11:28:04
322,408,5,2,11:46:13
135,467,5,2,11:48:46
144,412,5,2,11:53:03
28,258,5,2,12:32:43
28,258,5,2,12:32:46
404,405,5,2,12:57:47
163,163,5,2,12:58:52
163,163,5,2,13:00:57
113,345,5,2,13:02:35
2,2,5,2,13:22:17
465,443,5,2,13:28:59
315,270,5,2,14:59:46
423,423,5,2,15:05:20
387,177,5,2,15:57:09
387,177,5,2,15:57:14
28,289,5,2,15:59:45
251,310,5,2,16:16:48
280,134,5,2,16:21:32
280,134,5,2,16:21:37
36,36,5,2,16:28:27
238,7,5,2,16:35:34
238,7,5,2,16:35:38
216,128,5,2,16:42:44
465,255,5,2,16:49:08
465,255,5,2,16:49:41
465,255,5,2,16:49:52
214,381,5,2,16:53:14
214,214,5,2,16:53:21
217,432,5,2,17:19:05
220,52,5,2,17:42:20
220,430,5,2,17:42:23
220,167,5,2,17:42:27
220,292,5,2,17:42:31
182,182,5,2,17:48:43
335,335,5,2,18:01:29
401,195,5,2,18:02:35
326,344,5,2,18:13:57
220,7,5,2,19:08:06
209,279,5,2,20:34:18
220,430,5,2,20:40:59
220,430,5,2,20:41:05
220,209,5,2,20:41:07
236,294,5,2,21:24:04
410,227,5,2,21:28:05
446,43,5,2,21:37:58
446,430,5,2,21:38:01
446,7,5,2,21:38:04
208,410,5,2,21:41:44
446,430,5,2,21:47:29
446,430,5,2,22:16:07
446,430,5,2,22:18:03
318,115,5,2,23:04:06
213,349,5,2,23:17:11
394,394,6,3,00:02:39
241,299,6,3,00:04:32
52,182,6,3,00:06:48
266,175,6,3,00:06:56
15,357,6,3,00:07:32
49,330,6,3,00:09:57
81,413,6,3,00:13:28
51,456,6,3,00:23:38
82,157,6,3,00:54:19
220,391,6,3,01:01:02
118,331,6,3,08:00:52
325,99,6,3,08:36:06
25,278,6,3,08:39:32
358,119,6,3,08:52:48
25,278,6,3,08:56:46
25,278,6,3,08:56:46
195,144,6,3,09:14:27
82,82,6,3,09:34:19
180,448,6,3,09:46:42
301,332,6,3,10:05:49
177,177,6,3,10:11:46
207,303,6,3,10:36:02
87,135,6,3,10:42:42
391,123,6,3,10:49:30
202,357,6,3,10:57:38
230,386,6,3,11:16:39
163,163,6,3,11:16:45
208,163,6,3,11:21:52
208,335,6,3,11:39:20
437,437,6,3,11:44:32
322,322,6,3,11:58:58
322,322,6,3,12:03:36
180,180,6,3,12:05:29
64,179,6,3,12:29:22
64,179,6,3,12:29:27
135,444,6,3,12:30:12
135,444,6,3,12:30:16
406,146,6,3,12:46:17
56,80,6,3,13:13:15
56,80,6,3,13:13:18
254,28,6,3,13:31:12
147,20,6,3,15:25:20
261,457,6,3,15:36:10
36,388,6,3,15:58:07
446,167,6,3,16:08:13
446,167,6,3,16:08:16
446,118,6,3,16:08:20
446,118,6,3,16:08:31
446,16,6,3,16:08:33
446,16,6,3,16:08:39
446,9,6,3,16:08:44
446,59,6,3,16:08:53
446,59,6,3,16:08:56
446,466,6,3,16:09:03
446,12,6,3,16:09:05
446,12,6,3,16:09:08
446,96,6,3,16:09:13
446,96,6,3,16:09:16
446,96,6,3,16:09:18
446,75,6,3,16:09:21
446,167,6,3,16:09:27
446,167,6,3,16:09:29
220,220,6,3,17:14:48
430,292,6,3,17:22:14
94,94,6,3,17:23:02
220,220,6,3,17:25:44
19,338,6,3,17:27:09
113,128,6,3,17:28:18
284,284,6,3,17:33:15
284,284,6,3,17:33:25
192,321,6,3,17:41:34
315,151,6,3,17:58:05
262,453,6,3,18:19:10
394,394,6,3,19:54:02
282,55,6,3,20:05:07
239,239,6,3,20:16:56
160,324,6,3,20:54:26
160,324,6,3,20:54:29
98,98,6,3,21:03:05
241,299,6,3,21:58:55
316,289,6,3,22:06:24
173,238,6,3,22:06:24
33,33,6,3,22:18:05
315,399,6,3,22:58:24
328,328,6,3,23:02:37
13,406,6,3,23:15:28
140,10,6,3,23:38:50
39,39,7,4,00:05:46
440,240,7,4,00:14:29
440,240,7,4,00:14:32
440,240,7,4,00:14:33
451,206,7,4,00:21:24
369,197,7,4,00:28:44
91,238,7,4,01:09:30
333,273,7,4,01:09:51
333,273,7,4,01:09:53
267,422,7,4,07:13:03
389,46,7,4,07:15:13
277,343,7,4,07:40:18
324,278,7,4,07:53:23
208,358,7,4,08:03:32
239,60,7,4,08:04:37
106,36,7,4,08:14:14
106,36,7,4,08:30:52
349,36,7,4,08:39:18
334,302,7,4,08:40:11
26,26,7,4,09:02:02
278,161,7,4,09:36:14
460,460,7,4,09:56:09
460,460,7,4,09:56:14
448,35,7,4,10:17:21
192,171,7,4,10:22:57
128,128,7,4,10:23:00
192,171,7,4,10:23:56
192,171,7,4,10:32:04
391,391,7,4,10:54:20
451,139,7,4,11:14:00
57,406,7,4,11:43:24
57,406,7,4,11:43:30
179,219,7,4,11:57:14
179,219,7,4,11:57:20
179,219,7,4,11:57:29
179,466,7,4,11:58:08
179,466,7,4,11:58:12
179,167,7,4,11:58:19
179,7,7,4,11:58:30
179,7,7,4,11:58:46
86,18,7,4,12:26:31
435,446,7,4,12:52:17
435,446,7,4,12:52:32
370,314,7,4,13:12:14
450,243,7,4,13:14:27
450,243,7,4,13:14:38
450,243,7,4,13:14:42
423,423,7,4,13:46:45
423,423,7,4,13:46:48
204,457,7,4,14:06:51
68,102,7,4,14:12:21
68,102,7,4,14:12:27
143,412,7,4,14:14:51
210,25,7,4,14:19:52
177,177,7,4,14:42:48
177,177,7,4,14:42:55
409,409,7,4,14:43:26
160,409,7,4,14:52:22
160,409,7,4,14:52:28
33,33,7,4,14:58:17
434,96,7,4,15:06:23
173,266,7,4,15:06:40
457,457,7,4,15:10:04
77,77,7,4,15:18:04
401,372,7,4,15:34:52
17,17,7,4,15:35:51
47,85,7,4,15:43:02
431,431,7,4,15:43:02
268,268,7,4,15:43:31
103,103,7,4,15:45:46
439,147,7,4,16:12:15
237,466,7,4,16:13:19
446,52,7,4,17:13:45
73,91,7,4,17:36:17
209,379,7,4,17:36:18
101,101,7,4,17:36:29
134,134,7,4,18:07:21
255,229,7,4,18:12:27
321,375,7,4,18:26:32
46,370,7,4,18:31:15
46,370,7,4,18:31:21
360,392,7,4,18:46:50
360,392,7,4,18:46:53
310,422,7,4,18:56:49
163,422,7,4,19:04:57
164,373,7,4,19:05:03
356,46,7,4,19:18:41
189,360,7,4,19:26:19
138,138,7,4,19:43:57
455,455,7,4,19:50:34
320,320,7,4,19:56:05
365,91,7,4,20:47:36
232,94,7,4,21:35:24
280,94,7,4,21:40:45
238,238,7,4,22:07:30
277,45,7,4,22:27:39
354,171,7,4,22:29:38
303,25,7,4,23:36:09
391,238,8,5,00:04:10
391,238,8,5,00:04:14
63,63,8,5,00:07:04
33,33,8,5,00:14:35
394,394,8,5,06:47:01
394,394,8,5,07:00:15
394,394,8,5,07:10:44
17,17,8,5,07:24:12
12,179,8,5,07:58:12
208,203,8,5,08:06:35
175,179,8,5,08:31:12
206,85,8,5,08:40:29
119,352,8,5,08:45:08
119,352,8,5,08:45:14
400,437,8,5,09:06:53
156,20,8,5,10:10:21
320,457,8,5,10:44:03
201,358,8,5,10:46:16
312,447,8,5,10:46:28
359,336,8,5,10:49:04
316,238,8,5,10:49:17
39,11,8,5,10:49:21
92,92,8,5,10:58:12
92,92,8,5,10:58:28
328,87,8,5,10:58:55
328,87,8,5,10:59:00
179,219,8,5,11:01:13
179,219,8,5,11:01:18
179,219,8,5,11:01:24
246,444,8,5,11:05:36
273,92,8,5,11:14:38
33,225,8,5,11:31:23
