user_id,day,day_of_week,time
320,3,7,09:17:22
115,3,7,09:19:06
86,3,7,09:20:11
96,3,7,09:44:58
55,3,7,10:09:48
55,3,7,10:09:56
12,3,7,10:50:54
120,3,7,10:52:05
182,3,7,11:12:47
182,3,7,11:13:19
137,3,7,11:16:19
20,3,7,11:24:07
208,3,7,11:30:22
83,3,7,11:48:23
101,3,7,12:01:46
115,3,7,12:22:58
46,3,7,13:00:17
342,3,7,14:43:52
462,3,7,15:19:23
320,3,7,15:52:03
122,3,7,15:56:18
394,3,7,15:56:39
165,3,7,15:57:10
165,3,7,15:57:23
120,3,7,15:59:59
338,3,7,16:00:10
24,3,7,16:03:29
399,3,7,16:06:29
373,3,7,16:12:48
275,3,7,16:19:46
245,3,7,16:20:55
435,3,7,16:24:15
435,3,7,16:27:16
319,3,7,16:36:26
265,3,7,16:41:21
115,3,7,17:07:39
229,3,7,17:08:01
36,3,7,18:49:04
36,3,7,18:49:22
375,3,7,18:57:10
375,3,7,18:57:23
321,3,7,18:57:25
92,3,7,19:24:16
3,3,7,19:24:27
3,3,7,19:24:35
320,3,7,20:18:10
331,3,7,21:19:42
120,3,7,21:23:37
307,3,7,21:24:22
223,3,7,21:27:40
267,3,7,21:38:56
202,3,7,21:41:52
210,3,7,22:22:10
446,3,7,22:24:18
446,3,7,22:24:23
220,3,7,22:28:27
341,3,7,22:36:16
320,3,7,22:42:06
7,3,7,22:43:14
7,3,7,22:44:06
78,3,7,22:48:27
460,3,7,23:08:41
377,3,7,23:09:08
375,3,7,23:17:02
78,3,7,23:33:09
405,3,7,23:38:46
120,3,7,23:53:02
220,3,7,23:57:15
115,4,1,00:07:55
120,4,1,00:08:28
220,4,1,00:19:06
375,4,1,00:20:17
320,4,1,00:49:31
352,4,1,01:10:26
352,4,1,01:11:03
115,4,1,06:38:42
320,4,1,08:26:28
168,4,1,08:33:24
22,4,1,08:42:18
209,4,1,08:51:05
375,4,1,08:58:25
354,4,1,09:08:43
375,4,1,09:22:37
160,4,1,10:15:38
91,4,1,10:58:08
217,4,1,12:02:27
115,4,1,12:04:28
267,4,1,12:09:23
120,4,1,12:13:05
434,4,1,12:36:40
375,4,1,13:11:28
78,4,1,13:30:52
12,4,1,13:38:34
63,4,1,13:46:03
54,4,1,14:21:24
378,4,1,14:29:05
412,4,1,14:30:53
412,4,1,14:31:04
320,4,1,14:56:23
36,4,1,15:04:39
280,4,1,15:05:29
320,4,1,15:14:22
430,4,1,15:15:33
120,4,1,15:22:54
408,4,1,15:40:41
408,4,1,15:41:19
408,4,1,15:41:27
408,4,1,15:41:34
430,4,1,15:44:01
435,4,1,15:57:39
248,4,1,17:57:23
388,4,1,18:01:32
115,4,1,18:37:32
120,4,1,18:38:04
86,4,1,18:46:10
160,4,1,19:09:25
408,4,1,19:13:18
408,4,1,19:13:36
120,4,1,19:35:21
432,4,1,19:44:56
63,4,1,20:22:13
63,4,1,20:22:40
63,4,1,20:22:52
375,4,1,21:27:39
331,4,1,22:21:06
136,4,1,23:07:19
120,4,1,23:11:10
117,4,1,23:29:24
282,4,1,23:47:51
320,4,1,23:48:36
133,4,1,23:58:30
115,5,2,00:01:21
320,5,2,00:05:13
408,5,2,00:07:38
408,5,2,00:07:50
408,5,2,00:08:48
267,5,2,00:08:57
137,5,2,00:09:13
137,5,2,00:09:32
36,5,2,00:34:31
375,5,2,00:34:35
66,5,2,02:53:55
217,5,2,08:28:14
408,5,2,08:37:28
375,5,2,08:45:05
388,5,2,08:45:49
111,5,2,08:54:20
115,5,2,09:03:01
19,5,2,09:03:16
375,5,2,09:07:17
375,5,2,09:07:41
36,5,2,09:21:16
287,5,2,09:23:17
220,5,2,09:30:20
221,5,2,09:34:20
120,5,2,09:51:09
55,5,2,09:54:17
375,5,2,10:07:58
375,5,2,10:08:40
261,5,2,10:24:44
158,5,2,10:28:55
430,5,2,10:33:32
63,5,2,11:06:08
63,5,2,11:07:42
63,5,2,11:24:26
375,5,2,11:32:00
320,5,2,11:42:50
144,5,2,11:53:26
260,5,2,12:58:34
460,5,2,13:01:46
460,5,2,13:03:10
78,5,2,13:23:52
338,5,2,13:42:07
159,5,2,14:06:58
115,5,2,14:16:00
307,5,2,15:09:42
217,5,2,15:24:57
237,5,2,15:25:35
375,5,2,15:28:16
310,5,2,15:46:16
310,5,2,15:46:48
310,5,2,15:47:02
184,5,2,16:15:34
184,5,2,16:15:57
307,5,2,16:16:18
265,5,2,16:16:33
307,5,2,16:16:57
292,5,2,16:17:04
86,5,2,16:17:41
84,5,2,16:18:14
383,5,2,16:18:34
324,5,2,16:18:42
302,5,2,16:18:46
225,5,2,16:18:56
190,5,2,16:19:16
458,5,2,16:21:24
81,5,2,16:21:49
280,5,2,16:21:55
221,5,2,16:22:41
63,5,2,16:23:30
42,5,2,16:23:56
63,5,2,16:23:58
451,5,2,16:24:12
203,5,2,16:24:24
221,5,2,16:24:36
221,5,2,16:25:58
36,5,2,16:26:27
380,5,2,16:26:35
120,5,2,16:26:40
42,5,2,16:27:29
36,5,2,16:27:34
120,5,2,16:27:38
59,5,2,16:27:39
324,5,2,16:27:51
292,5,2,16:28:00
118,5,2,16:28:20
292,5,2,16:28:23
406,5,2,16:28:27
303,5,2,16:28:31
72,5,2,16:28:32
6,5,2,16:28:40
42,5,2,16:28:48
363,5,2,16:28:59
363,5,2,16:29:02
155,5,2,16:29:04
406,5,2,16:29:58
202,5,2,16:30:28
406,5,2,16:30:45
375,5,2,16:30:45
163,5,2,16:30:46
202,5,2,16:31:02
202,5,2,16:31:14
163,5,2,16:31:16
36,5,2,16:31:24
247,5,2,16:31:34
202,5,2,16:31:39
406,5,2,16:31:46
247,5,2,16:31:55
219,5,2,16:32:04
202,5,2,16:32:32
188,5,2,16:33:18
406,5,2,16:33:18
45,5,2,16:33:24
408,5,2,16:33:45
406,5,2,16:34:43
105,5,2,16:35:05
444,5,2,16:35:16
91,5,2,16:35:47
238,5,2,16:36:33
42,5,2,16:36:45
241,5,2,16:37:04
434,5,2,16:37:09
214,5,2,16:37:13
456,5,2,16:37:18
238,5,2,16:37:24
251,5,2,16:37:27
303,5,2,16:38:10
113,5,2,16:38:45
122,5,2,16:38:45
344,5,2,16:39:53
392,5,2,16:39:58
59,5,2,16:40:33
287,5,2,16:40:37
376,5,2,16:41:38
216,5,2,16:42:11
411,5,2,16:42:27
412,5,2,16:43:51
338,5,2,16:44:08
437,5,2,16:44:28
237,5,2,16:44:37
30,5,2,16:45:29
338,5,2,16:45:45
350,5,2,16:46:01
30,5,2,16:48:15
350,5,2,16:49:25
320,5,2,16:53:36
247,5,2,16:54:37
410,5,2,16:54:56
78,5,2,16:55:03
5,5,2,16:55:32
247,5,2,16:55:44
222,5,2,16:56:08
222,5,2,16:56:23
409,5,2,16:56:28
78,5,2,16:56:55
202,5,2,16:57:06
273,5,2,16:57:09
37,5,2,16:59:41
63,5,2,16:59:54
168,5,2,17:00:09
7,5,2,17:00:31
115,5,2,17:00:54
37,5,2,17:01:05
7,5,2,17:01:25
56,5,2,17:03:20
179,5,2,17:05:40
179,5,2,17:08:53
350,5,2,17:15:52
202,5,2,17:17:09
47,5,2,17:17:14
266,5,2,17:17:25
220,5,2,17:21:37
220,5,2,17:21:53
179,5,2,17:22:50
85,5,2,17:23:00
374,5,2,17:27:09
205,5,2,17:29:46
91,5,2,17:36:25
220,5,2,17:42:40
245,5,2,17:50:21
245,5,2,17:52:46
275,5,2,17:53:47
19,5,2,17:54:27
19,5,2,17:55:11
315,5,2,17:55:51
323,5,2,17:55:56
323,5,2,17:56:33
108,5,2,18:01:34
74,5,2,18:20:04
280,5,2,18:41:24
299,5,2,18:44:00
72,5,2,18:45:45
220,5,2,19:08:23
105,5,2,19:18:06
375,5,2,19:24:16
406,5,2,19:25:14
182,5,2,19:31:25
217,5,2,19:40:52
220,5,2,20:04:05
255,5,2,20:11:52
228,5,2,20:15:32
115,5,2,20:36:53
220,5,2,20:41:13
78,5,2,21:07:48
236,5,2,21:24:12
444,5,2,21:33:07
406,5,2,21:53:21
184,5,2,23:08:31
184,5,2,23:08:33
120,5,2,23:31:42
